epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7252,0.83198,0.98801,1.37998,0.73315,0.67318,0.72384,0.66536,0.59155,0.96368,1.14228,0.000275409,0.000275409,0.000275409
2,113.195,0.74542,0.82783,1.2131,0.86124,0.65609,0.74658,0.68279,0.57951,0.84776,1.1034,0.000542125,0.000542125,0.000542125
3,168.331,0.73467,0.82649,1.19559,0.80643,0.64446,0.74714,0.68309,0.5873,0.89492,1.13399,0.000797845,0.000797845,0.000797845
4,223.316,0.73869,0.84641,1.17752,0.73237,0.65263,0.73418,0.68299,0.52899,0.86838,1.04842,0.00078352,0.00078352,0.00078352
5,278.291,0.68564,0.79936,1.14307,0.74726,0.66518,0.74099,0.66292,0.59874,0.87509,1.11143,0.000767026,0.000767026,0.000767026
6,333.379,0.71111,0.81096,1.1588,0.74645,0.70323,0.76163,0.69603,0.51646,0.83573,1.03417,0.000750533,0.000750533,0.000750533
7,388.506,0.69919,0.81513,1.15638,0.79785,0.7235,0.76044,0.70487,0.52155,0.84425,1.03647,0.00073404,0.00073404,0.00073404
8,443.812,0.69638,0.82366,1.15079,0.78604,0.69423,0.76216,0.70615,0.5211,0.82111,1.02917,0.000717546,0.000717546,0.000717546
9,499.182,0.65867,0.74206,1.12305,0.78309,0.69037,0.75941,0.69728,0.49671,0.81437,1.01066,0.000701053,0.000701053,0.000701053
10,554.467,0.64799,0.73453,1.11627,0.78713,0.68563,0.7674,0.71314,0.47894,0.82504,0.98938,0.000684559,0.000684559,0.000684559
11,609.785,0.64678,0.74202,1.12392,0.71971,0.71749,0.76237,0.70747,0.52891,0.80751,1.02746,0.000668066,0.000668066,0.000668066
12,665.1,0.64289,0.74128,1.11496,0.74721,0.77999,0.79388,0.73382,0.50715,0.75026,1.00752,0.000651573,0.000651573,0.000651573
13,720.436,0.63342,0.71623,1.10772,0.83147,0.67974,0.77308,0.71421,0.5147,0.78729,1.0095,0.000635079,0.000635079,0.000635079
14,775.77,0.64793,0.73704,1.11455,0.7395,0.77298,0.78256,0.724,0.5344,0.84431,1.04003,0.000618586,0.000618586,0.000618586
