epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.3636,0.75036,0.8449,1.24962,0.76159,0.74887,0.7857,0.72373,0.47249,0.72886,0.92282,0.000275165,0.000275165,0.000275165
2,130.571,0.6818,0.72872,1.12245,0.79311,0.70548,0.8014,0.72516,0.49371,0.70633,0.93425,0.000541886,0.000541886,0.000541886
3,180.578,0.66032,0.72696,1.10632,0.79058,0.74048,0.81545,0.73706,0.50176,0.69415,0.93603,0.000797611,0.000797611,0.000797611
4,230.363,0.64515,0.70994,1.09835,0.70379,0.80833,0.81612,0.73598,0.49216,0.7595,0.92934,0.00078352,0.00078352,0.00078352
5,280.259,0.64106,0.68944,1.08788,0.8134,0.79191,0.85449,0.78246,0.46865,0.67319,0.91886,0.000767026,0.000767026,0.000767026
6,330.277,0.6228,0.68353,1.07699,0.83094,0.73796,0.83024,0.76294,0.47186,0.74532,0.9138,0.000750533,0.000750533,0.000750533
7,380.196,0.62112,0.65473,1.07582,0.82783,0.76577,0.83896,0.76695,0.46002,0.69655,0.9085,0.00073404,0.00073404,0.00073404
8,430.388,0.60298,0.6428,1.06819,0.78384,0.79856,0.84298,0.76762,0.47655,0.6748,0.91292,0.000717546,0.000717546,0.000717546
9,480.566,0.59389,0.64031,1.05303,0.81931,0.78773,0.85054,0.77547,0.45463,0.71342,0.90176,0.000701053,0.000701053,0.000701053
10,530.683,0.58884,0.60759,1.05771,0.85609,0.77064,0.87073,0.79545,0.45491,0.61215,0.89742,0.000684559,0.000684559,0.000684559
11,580.785,0.58915,0.60949,1.0552,0.80287,0.82044,0.88196,0.8033,0.46247,0.60447,0.90272,0.000668066,0.000668066,0.000668066
12,630.718,0.59209,0.62015,1.05915,0.82364,0.7925,0.85446,0.78971,0.44232,0.6367,0.8929,0.000651573,0.000651573,0.000651573
13,680.862,0.56865,0.58844,1.0451,0.84047,0.80916,0.87643,0.80552,0.44482,0.5806,0.89049,0.000635079,0.000635079,0.000635079
14,731.129,0.57241,0.5751,1.04374,0.85852,0.81224,0.88312,0.80284,0.44669,0.59499,0.89405,0.000618586,0.000618586,0.000618586
15,781.357,0.56274,0.5648,1.03956,0.88905,0.75299,0.8718,0.79321,0.45307,0.63336,0.88992,0.000602092,0.000602092,0.000602092
16,831.495,0.55851,0.55172,1.03176,0.86656,0.79564,0.8852,0.81678,0.42973,0.56102,0.8875,0.000585599,0.000585599,0.000585599
17,881.618,0.55469,0.55175,1.0336,0.8774,0.82461,0.89045,0.82401,0.42929,0.5921,0.87682,0.000569106,0.000569106,0.000569106
18,931.734,0.54807,0.55479,1.02628,0.84601,0.83397,0.87785,0.8128,0.43318,0.57023,0.87887,0.000552612,0.000552612,0.000552612
19,981.949,0.55561,0.5539,1.0319,0.87131,0.80262,0.88207,0.81363,0.42859,0.60223,0.88257,0.000536119,0.000536119,0.000536119
20,1032.09,0.54423,0.54127,1.03078,0.80879,0.84127,0.87653,0.81133,0.4285,0.60594,0.88624,0.000519625,0.000519625,0.000519625
21,1082.14,0.53382,0.51946,1.01579,0.89648,0.83439,0.90256,0.83872,0.42287,0.51812,0.87417,0.000503132,0.000503132,0.000503132
22,1132.27,0.53891,0.52078,1.01632,0.86812,0.83979,0.89931,0.83144,0.43718,0.53521,0.88077,0.000486639,0.000486639,0.000486639
23,1182.39,0.53512,0.51774,1.0197,0.81778,0.82111,0.86857,0.80377,0.43063,0.59243,0.88191,0.000470145,0.000470145,0.000470145
24,1232.45,0.53568,0.50503,1.01422,0.86559,0.81772,0.88195,0.81293,0.42706,0.60307,0.87372,0.000453652,0.000453652,0.000453652
25,1282.59,0.53096,0.49151,1.01112,0.86219,0.8137,0.87889,0.8193,0.41514,0.60759,0.86208,0.000437158,0.000437158,0.000437158
26,1332.62,0.52013,0.48758,1.00947,0.90497,0.78458,0.88743,0.81841,0.42666,0.56389,0.88046,0.000420665,0.000420665,0.000420665
27,1382.71,0.52165,0.4895,1.00802,0.91266,0.78235,0.88583,0.83227,0.40717,0.5465,0.85946,0.000404172,0.000404172,0.000404172
28,1432.8,0.51374,0.47684,1.00566,0.86125,0.86093,0.90746,0.84192,0.42579,0.50813,0.86832,0.000387678,0.000387678,0.000387678
29,1482.96,0.52675,0.48136,1.01536,0.89765,0.81566,0.90282,0.83444,0.44058,0.53382,0.8803,0.000371185,0.000371185,0.000371185
30,1533.12,0.52226,0.47119,1.00831,0.8417,0.83353,0.89557,0.83405,0.40977,0.53946,0.85951,0.000354691,0.000354691,0.000354691
31,1583.13,0.50568,0.46188,0.99823,0.87137,0.7993,0.8756,0.81575,0.41373,0.58397,0.86737,0.000338198,0.000338198,0.000338198
32,1633.22,0.50056,0.45316,1.00152,0.84719,0.82849,0.89898,0.83853,0.40739,0.53556,0.86397,0.000321705,0.000321705,0.000321705
33,1683.3,0.5013,0.46414,1.00082,0.87383,0.80915,0.88683,0.8289,0.39884,0.53707,0.85394,0.000305211,0.000305211,0.000305211
34,1733.41,0.49403,0.45031,0.99583,0.88015,0.81727,0.89568,0.83711,0.40589,0.52357,0.86117,0.000288718,0.000288718,0.000288718
35,1783.57,0.49433,0.43384,0.99349,0.87913,0.79914,0.88954,0.83091,0.40083,0.54532,0.85642,0.000272224,0.000272224,0.000272224
36,1833.59,0.49601,0.43604,0.99568,0.87912,0.82077,0.89374,0.83347,0.40415,0.54185,0.86045,0.000255731,0.000255731,0.000255731
37,1883.71,0.49427,0.4363,0.99524,0.88341,0.82193,0.88949,0.83022,0.40692,0.5459,0.86563,0.000239238,0.000239238,0.000239238
38,1933.9,0.48526,0.42058,0.98992,0.88132,0.83751,0.90309,0.84376,0.40024,0.51425,0.85569,0.000222744,0.000222744,0.000222744
39,1983.93,0.47417,0.42835,0.98053,0.91961,0.80381,0.89727,0.84023,0.39382,0.50556,0.85326,0.000206251,0.000206251,0.000206251
40,2033.88,0.48141,0.41601,0.98606,0.89235,0.83834,0.90517,0.85159,0.39821,0.49412,0.85677,0.000189757,0.000189757,0.000189757
41,2090.83,0.4207,0.34769,0.95942,0.85698,0.84679,0.89702,0.84048,0.39589,0.52884,0.85864,0.000173264,0.000173264,0.000173264
42,2140.18,0.40449,0.32321,0.95054,0.87652,0.83227,0.89351,0.83854,0.39152,0.54092,0.85205,0.000156771,0.000156771,0.000156771
43,2189.7,0.3985,0.31838,0.94239,0.88636,0.81529,0.89403,0.84145,0.38975,0.52374,0.85316,0.000140277,0.000140277,0.000140277
44,2239.18,0.3993,0.31893,0.9456,0.90354,0.82232,0.89817,0.84426,0.39006,0.50023,0.85017,0.000123784,0.000123784,0.000123784
45,2288.76,0.39456,0.30275,0.94139,0.89315,0.81465,0.89785,0.84613,0.39075,0.50587,0.85075,0.00010729,0.00010729,0.00010729
46,2338.22,0.38675,0.29793,0.93234,0.90988,0.81558,0.90024,0.84667,0.3845,0.51815,0.84831,9.0797e-05,9.0797e-05,9.0797e-05
47,2387.76,0.39222,0.30965,0.94974,0.90189,0.85148,0.9045,0.85275,0.38149,0.50613,0.84612,7.43036e-05,7.43036e-05,7.43036e-05
48,2437.26,0.38008,0.28554,0.92383,0.90363,0.84202,0.90496,0.85427,0.37653,0.50181,0.84615,5.78102e-05,5.78102e-05,5.78102e-05
49,2486.79,0.37675,0.29139,0.92876,0.90574,0.84657,0.90235,0.8519,0.37595,0.49687,0.84514,4.13168e-05,4.13168e-05,4.13168e-05
50,2536.3,0.37956,0.28739,0.93577,0.88968,0.84604,0.90019,0.85082,0.37466,0.50136,0.84257,2.48234e-05,2.48234e-05,2.48234e-05
